Disease Node,Gene Node,Dot Product
MONDO:0018076,283,3.9577456
MONDO:0018076,493,3.9406686
MONDO:0018076,10117,3.8851743
MONDO:0018076,7706,3.8471892
MONDO:0018076,886,3.759559
MONDO:0018076,4830,3.6929748
MONDO:0018076,8811,3.6025517
MONDO:0018076,7498,3.5930517
MONDO:0018076,6355,3.38298
MONDO:0018076,3619,3.3535
MONDO:0018076,142,3.3326843
MONDO:0018076,7113,3.275979
MONDO:0018076,7514,3.2743528
MONDO:0018076,257,3.2361352
MONDO:0018076,3202,3.2048178
MONDO:0018076,9723,3.1696362
MONDO:0018076,10205,3.152944
MONDO:0018076,7494,3.1380475
MONDO:0018076,1139,3.1194406
MONDO:0018076,890,3.065074
MONDO:0018076,3854,3.0620706
MONDO:0018076,5256,3.031477
MONDO:0018076,2762,3.024929
MONDO:0018076,2671,3.018137
MONDO:0018076,3047,2.9977536
MONDO:0018076,3375,2.9836512
MONDO:0018076,2620,2.9662085
MONDO:0018076,2747,2.9582734
MONDO:0018076,8045,2.9358099
MONDO:0018076,3273,2.8754964
MONDO:0018076,1235,2.861399
MONDO:0018076,7059,2.8530695
MONDO:0018076,1147,2.8419802
MONDO:0018076,1608,2.8255649
MONDO:0018076,3489,2.8198912
MONDO:0018076,6318,2.8089056
MONDO:0018076,9459,2.7966163
MONDO:0018076,3199,2.7932193
MONDO:0018076,31,2.7890904
MONDO:0018076,1021,2.7889595
MONDO:0018076,3921,2.7775586
MONDO:0018076,2042,2.7442422
MONDO:0018076,1044,2.740257
MONDO:0018076,1876,2.7267356
MONDO:0018076,4566,2.722537
MONDO:0018076,1961,2.7186024
MONDO:0018076,2230,2.7120256
MONDO:0018076,2130,2.6936498
MONDO:0018076,4576,2.6919565
MONDO:0018076,1051,2.6901238
MONDO:0018076,9630,2.6886907
MONDO:0018076,2696,2.6824205
MONDO:0018076,7486,2.6595676
MONDO:0018076,1469,2.6513865
MONDO:0018076,6047,2.6506512
MONDO:0018076,5058,2.6408246
MONDO:0018076,444,2.602245
MONDO:0018076,7864,2.5744889
MONDO:0018076,5652,2.5701816
MONDO:0018076,4622,2.568661
MONDO:0018076,862,2.5527127
MONDO:0018076,7552,2.5498278
MONDO:0018076,1826,2.5388892
MONDO:0018076,3642,2.534726
MONDO:0018076,1432,2.5216465
MONDO:0018076,1237,2.5177011
MONDO:0018076,8269,2.4939086
MONDO:0018076,5318,2.4901865
MONDO:0018076,2744,2.4818907
MONDO:0018076,4524,2.4641898
MONDO:0018076,3897,2.4371126
MONDO:0018076,5362,2.4352615
MONDO:0018076,7686,2.4336185
MONDO:0018076,6634,2.4171088
MONDO:0018076,9411,2.414141
MONDO:0018076,7805,2.4118752
MONDO:0018076,2248,2.4068394
MONDO:0018076,2205,2.4019656
MONDO:0018076,3069,2.3997836
MONDO:0018076,1788,2.396662
MONDO:0018076,891,2.3951585
MONDO:0018076,1107,2.3890421
MONDO:0018076,2121,2.3742752
MONDO:0018076,4141,2.3736165
MONDO:0018076,1124,2.3609984
MONDO:0018076,2974,2.3595543
MONDO:0018076,348,2.356237
MONDO:0018076,3927,2.350889
MONDO:0018076,885,2.3431866
MONDO:0018076,6434,2.3385398
MONDO:0018076,651,2.3359609
MONDO:0018076,8821,2.3355594
MONDO:0018076,334,2.3340662
MONDO:0018076,7755,2.3340144
MONDO:0018076,1950,2.3297083
MONDO:0018076,1601,2.329352
MONDO:0018076,2850,2.3286712
MONDO:0018076,6646,2.3284023
MONDO:0018076,4047,2.3034854
MONDO:0018076,2803,2.3001628
MONDO:0018076,1392,2.3000062
MONDO:0018076,1954,2.298598
MONDO:0018076,1468,2.2834775
MONDO:0018076,6580,2.275149
MONDO:0018076,356,2.2742221
MONDO:0018076,140,2.2741215
MONDO:0018076,1371,2.2717946
MONDO:0018076,438,2.2712429
MONDO:0018076,5096,2.2691298
MONDO:0018076,490,2.2665734
MONDO:0018076,8754,2.2663512
MONDO:0018076,5149,2.2648957
MONDO:0018076,5532,2.2450879
MONDO:0018076,1973,2.243357
MONDO:0018076,5818,2.2388742
MONDO:0018076,7381,2.2373066
MONDO:0018076,4670,2.2349997
MONDO:0018076,1579,2.2293491
MONDO:0018076,1629,2.2265112
MONDO:0018076,816,2.2211664
MONDO:0018076,7529,2.2185168
MONDO:0018076,410,2.2185018
MONDO:0018076,5269,2.2178662
MONDO:0018076,2562,2.2099297
MONDO:0018076,1060,2.2072225
MONDO:0018076,2710,2.2070262
MONDO:0018076,9258,2.206072
MONDO:0018076,5698,2.2054193
MONDO:0018076,1203,2.20491
MONDO:0018076,7704,2.2014568
MONDO:0018076,735,2.1986504
MONDO:0018076,720,2.1938295
MONDO:0018076,3612,2.191967
MONDO:0018076,1213,2.1886127
MONDO:0018076,1230,2.1850185
MONDO:0018076,8481,2.1816711
MONDO:0018076,4761,2.1804566
MONDO:0018076,3597,2.1760879
MONDO:0018076,265,2.1726866
MONDO:0018076,611,2.1703389
MONDO:0018076,3067,2.1698349
MONDO:0018076,7718,2.169334
MONDO:0018076,1232,2.160248
MONDO:0018076,572,2.15991
MONDO:0018076,7051,2.1566558
MONDO:0018076,2813,2.1549306
MONDO:0018076,5727,2.152894
MONDO:0018076,7468,2.147099
MONDO:0018076,270,2.1360788
MONDO:0018076,654,2.1306872
MONDO:0018076,7482,2.1294727
